date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-03-01T05:14:45.924996Z,b9112e4d-7141-4922-9fca-47430268445e,RECRUITER,squirley,2026-02-14T06:49:30.335000Z,14.934,518.75,2,0,2,21,5911,2177
2026-03-01T05:14:45.924996Z,0254668f-5453-408d-aa18-d44d8619c215,RECRUITER,Thund3rMC,2026-02-28T20:42:21.854000Z,0.356,400.5,1,0,5,5,1062,1392
2026-03-01T05:14:45.924996Z,0cea76a6-b7a3-4537-8b64-f98ab836a1e2,RECRUITER,JJCourts,2026-02-28T14:00:44.591000Z,0.635,176.25,3,0,1,17,1125,869
2026-03-01T05:14:45.924996Z,ec784aab-d88e-40df-a5ab-c6a26fc9c671,RECRUITER,AlleNupY,2026-02-25T22:57:44.934000Z,3.262,145.67,0,0,0,1,502,765
2026-03-01T05:14:45.924996Z,5e3c6983-b267-49be-b6f8-7eedb09fddb4,RECRUITER,Zytiv,2026-02-25T13:30:12.267000Z,3.656,112.25,2,0,0,0,390,527
2026-03-01T05:14:45.924996Z,4c0e0ac7-49e1-4590-b4d6-8fe2f1ca1e26,RECRUITER,Firetornado2312,2026-02-26T02:13:27.798000Z,3.126,49.33,1,0,0,1,219,321
2026-03-01T05:14:45.924996Z,6f327520-de36-4695-b8f1-f67558d0d4fc,RECRUITER,White_plague,2026-02-18T08:32:06.033000Z,10.863,153.75,0,0,0,0,821,1193
2026-03-01T05:14:45.924996Z,85017f3e-4643-454b-a315-f158dd3971dd,RECRUITER,vamqir,2026-02-23T18:13:20.206000Z,5.459,30.67,1,0,0,0,889,210
2026-03-01T05:14:45.924996Z,9867e87a-e526-4da0-8945-e91f339409cc,RECRUITER,VenonatGX,2026-02-22T23:31:07.006000Z,6.239,880.33,1,0,5,548,3357,2161
2026-03-01T05:14:45.924996Z,eb1d2b6f-cd58-4cc8-b389-05bbfa831a3e,RECRUITER,djderpcat,2026-02-26T04:43:21.539000Z,3.022,23.25,0,0,0,0,1122,328
2026-03-01T05:14:45.924996Z,d3abfd17-2a07-45b1-a5b0-9b76800b53f4,RECRUITER,S6kuna,2026-02-10T10:51:02.452000Z,18.766,83.75,0,0,0,3,299,535
2026-03-01T05:14:45.924996Z,4ee827d7-5300-4f49-a5ba-3945e454460a,RECRUITER,GoDz_OneManArmy,2026-01-04T08:45:27.880000Z,55.854,34.75,0,0,0,0,807,122
2026-03-01T05:14:45.924996Z,fff311d0-b571-4b80-baa2-43adfe981448,RECRUIT,ZicZac,2026-03-01T02:45:02.376000Z,0.104,332.17,0,0,0,42,1883,1745
2026-03-01T05:14:45.924996Z,283536d3-5e6f-4c8d-a23b-9fa8a8b50f18,RECRUIT,notBirdblade,2026-03-01T01:27:43.925000Z,0.158,115.25,0,0,3,33,1001,848
2026-03-01T05:14:45.924996Z,6582d74d-9b97-435e-9781-66cf2aedb17a,RECRUIT,Feather_Storm,2026-02-28T18:25:43.152000Z,0.451,351.67,0,0,2,13,1524,799
2026-03-01T05:14:45.924996Z,b22cfe82-4f5d-4b43-b63f-8e33bf3d7835,RECRUIT,SewageFarts,2026-02-28T20:53:29.662000Z,0.348,43.0,24,1,1,5,603,358
2026-03-01T05:14:45.924996Z,bd589667-31d5-4f6c-95b8-04ddad4b241f,RECRUIT,iParadox1122,2026-02-19T06:57:07.851000Z,9.929,98.75,0,0,1,15,1095,620
2026-03-01T05:14:45.924996Z,e781dac3-37b9-48e8-b588-dc8b5a1e0200,RECRUIT,Bluvey,2026-03-01T01:44:30.710000Z,0.146,168.42,1,10,5,50,521,727
2026-03-01T05:14:45.924996Z,c1d04519-cf18-4a40-9061-a0d72ec3fda2,RECRUIT,CodeCrevette,2026-03-01T02:18:30.661000Z,0.122,386.67,0,14,3,107,1323,1088
2026-03-01T05:14:45.924996Z,2adb411c-37e2-491c-8afd-9a38fc4fdf06,RECRUIT,_Hammie_,2026-02-28T20:05:22.801000Z,0.382,89.25,0,0,0,3,284,755
2026-03-01T05:14:45.924996Z,4bfb9baf-7347-43c8-9c4d-5c55b27c780e,RECRUIT,Ryuuchen,2026-02-27T21:19:08.044000Z,1.33,170.0,0,0,2,5,1599,1070
2026-03-01T05:14:45.924996Z,f2fb427f-1ccc-495f-90f1-d40ad5de42f9,RECRUIT,Pogo_Duck,2026-02-27T04:32:17.761000Z,2.029,353.25,0,0,1,119,1617,810
2026-03-01T05:14:45.924996Z,1b6b5470-e8d6-48c8-a553-5bb52395a662,RECRUIT,Kanaefx,2026-02-28T02:56:34.017000Z,1.096,135.83,0,0,2,16,275,657
2026-03-01T05:14:45.924996Z,4fb7c4a3-a84e-431c-9d93-649f6391f7eb,RECRUIT,SolaR8735,2026-03-01T03:42:50.402000Z,0.064,217.75,0,9,2,98,268,672
2026-03-01T05:14:45.924996Z,4f7fad4a-c959-468f-8708-dd68f28e945b,RECRUIT,Arctifire,2026-02-28T08:27:43.904000Z,0.866,131.17,0,4,3,29,249,613
2026-03-01T05:14:45.924996Z,502073b4-06bc-4f30-8a4f-115e6c9e35af,RECRUIT,Endyre,2026-03-01T05:14:24.144000Z,0.0,1512.17,50,14,5,136,9508,6067
2026-03-01T05:14:45.924996Z,3ee651c0-59d3-452d-a98d-214d717bef83,RECRUIT,nawe69,2026-02-18T16:41:05.317000Z,10.523,56.42,0,0,0,0,225,330
