date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-02-25T20:31:13.565683Z,bf6fd3d8-f0b2-4831-9dc2-77db02b015d7,CAPTAIN,Gurlic,2026-02-22T20:34:01.235000Z,2.998,243.83,6,4,2,24,944,1104
2026-02-25T20:31:13.565683Z,d680883b-e7b2-4bfc-bad7-79372d97c60d,CAPTAIN,ddxWeCraft,2026-02-25T20:28:07.167000Z,0.002,236.58,14,9,0,117,794,695
2026-02-25T20:31:13.565683Z,2ad7fd38-792d-4862-ba2a-b7e1c1723b18,CAPTAIN,wrggg,2026-02-25T20:28:31.751000Z,0.002,864.67,46,192,2,799,851,593
2026-02-25T20:31:13.565683Z,065f7a4a-e15a-4bbf-ab2f-b55051e0b6de,CAPTAIN,parrandeno,2026-02-10T02:09:44.601000Z,15.765,85.83,12,4,1,16,1030,717
2026-02-25T20:31:13.565683Z,823ee888-e114-4ca9-9781-7086b5430a54,CAPTAIN,Liciela,2026-02-22T08:25:10.680000Z,3.504,1427.17,285,7,3,377,4688,1871
2026-02-25T20:31:13.565683Z,9ce7b212-c818-41cf-bd2a-9a2ad4f0e5df,CAPTAIN,Megawati,2026-02-25T14:55:49.728000Z,0.233,136.67,1,3,1,143,524,731
2026-02-25T20:31:13.565683Z,b7d4a9f2-73ba-47b6-bc7c-d8db98ad6a2e,CAPTAIN,cresseliah,2026-02-25T02:34:53.493000Z,0.747,136.58,0,1,2,7,1006,668
2026-02-25T20:31:13.565683Z,d0344f4e-a5fb-48ee-9359-1c82fb2320aa,CAPTAIN,gauvinsteven,2026-02-25T19:29:34.120000Z,0.043,311.83,1,0,0,1,1759,870
2026-02-25T20:31:13.565683Z,9c413f4a-9e5f-46e9-8b89-abdd46f3f74b,CAPTAIN,MelinoeNemesis,2026-02-21T15:31:06.350000Z,4.208,70.42,0,13,0,18,1387,460
2026-02-25T20:31:13.565683Z,b0135e82-95b5-432b-a008-d7a8d6829e07,CAPTAIN,EdouardpheoIII,2026-02-25T17:19:34.679000Z,0.133,1002.17,1,9,1,75,7348,1195
2026-02-25T20:31:13.565683Z,9731aa53-56d8-43e2-99d1-86e5e2efd7de,RECRUITER,Riku_56rr,2026-02-25T17:38:45.428000Z,0.12,255.58,0,3,2,155,790,692
2026-02-25T20:31:13.565683Z,c837e8b4-4e0a-41c4-b397-7b02f8f35f2a,RECRUITER,jayandjef,2026-02-23T03:16:06.924000Z,2.719,400.42,5,35,2,120,1147,1178
2026-02-25T20:31:13.565683Z,04be2792-d567-4c0a-aa1d-67242dbcf0a8,RECRUITER,roll_54,2026-02-24T23:24:33.925000Z,0.88,75.58,8,2,1,11,420,452
2026-02-25T20:31:13.565683Z,c77bcc5e-ad22-478d-a70e-fa3a255f2f86,RECRUITER,jeff1234567842,2026-02-25T12:20:27.748000Z,0.341,240.42,4,21,4,101,1679,1307
2026-02-25T20:31:13.565683Z,423997a0-9626-479c-97e5-d3517b93083c,RECRUITER,AmasoXd,2026-02-13T14:30:13.352000Z,12.251,100.5,0,0,0,16,1376,474
2026-02-25T20:31:13.565683Z,3823b995-b8fa-49f5-8c68-6d1a66bdf215,RECRUITER,JinnMD,2026-02-25T17:17:24.578000Z,0.135,1080.92,4,1,2,4,2140,1099
2026-02-25T20:31:13.565683Z,1af5a66a-9337-4e66-a69b-35d825f4a62b,RECRUITER,evbubba,2026-02-23T19:12:06.300000Z,2.055,364.58,0,0,4,38,1841,1510
2026-02-25T20:31:13.565683Z,b9112e4d-7141-4922-9fca-47430268445e,RECRUITER,squirley,2026-02-14T06:49:30.335000Z,11.571,518.75,2,0,2,21,5911,2177
2026-02-25T20:31:13.565683Z,0254668f-5453-408d-aa18-d44d8619c215,RECRUITER,Thund3rMC,2026-02-25T20:24:58.834000Z,0.004,387.67,1,0,5,5,1061,1383
2026-02-25T20:31:13.565683Z,0cea76a6-b7a3-4537-8b64-f98ab836a1e2,RECRUITER,JJCourts,2026-02-25T20:07:20.019000Z,0.017,176.17,3,0,1,17,1125,869
2026-02-25T20:31:13.565683Z,ec784aab-d88e-40df-a5ab-c6a26fc9c671,RECRUITER,AlleNupY,2026-02-13T06:48:23.481000Z,12.571,144.33,0,0,0,1,502,756
2026-02-25T20:31:13.565683Z,5e3c6983-b267-49be-b6f8-7eedb09fddb4,RECRUITER,Zytiv,2026-02-25T13:30:12.267000Z,0.292,112.25,2,0,0,0,390,527
